,District_Codes,District_Address,District
0,A-7,69 Paris Street, East Boston
1,B-2,2400 Washington Street, Roxbury
2,B-3,1165 Blue Hill Avenue, Mattapan
3,C-6,101 West Broadway, South Boston
4,C-11,40 Gibson Street, Dorchester
5,D-4,650 Harrison Avenue, Boston
6,D-14,301 Washington Street, Brighton
7,E-5,1708 Centre Street, West Roxbury
8,E-13,3347 Washington Street, Jamaica Plain
9,E-18,1249 Hyde Park Avenue, Hyde Park
10,A-1,40 New Sudbury Street,Charlestown
11,A-15,40 New Sudbury Street,Boston
